produto,sentido,porto
77312,PARANAGUA EXPRESS,Paranaguá
77311,BREMERHAVEN EXPRESS,Paranaguá
77592,CHRISTIANNA,Paranaguá
77572,GREEN YOKOHAMA,Paranaguá
77595,CASTARA,Paranaguá
77602,LIMNOS,Paranaguá
77433,SAN RAPHAEL MAERSK,Paranaguá
77310,IRENES RULE,Paranaguá
77580,ARDMORE CHEROKEE,Paranaguá
77538,MALYOVITSA,Paranaguá
77432,MAERSK LABERINTO,Paranaguá
77550,YARRA,Paranaguá
77541,JI XIAN FENG,Paranaguá
77567,IMABARI LOGGER,Paranaguá
77406,YU AN,Paranaguá
77350,PARAGON,Paranaguá
77520,ADRIATIC HIGHWAY,Paranaguá
77482,COSCO SHIPPING CHILE,Paranaguá
77593,BOCHEM WALVIS BAY,Paranaguá
77449,POLARIS LEADER,Paranaguá
77483,ONE PARANA,Paranaguá
77591,PACIFIC JASPER,Paranaguá
77546,ASCANIO,Paranaguá
77480,HANS SCHULTE,Paranaguá
77562,BLUE GRASS MARINER,Paranaguá
77586,OCEAN DREAM,Paranaguá
77379,OCEAN DREAM,Paranaguá
77309,NC BRISA,Paranaguá
77308,DALIAN EXPRESS,Paranaguá
77431,MAERSK LETICIA,Paranaguá
77366,SUNNY LAKES,Paranaguá
77556,JERICHO BEACH,Paranaguá
77515,BRASILIA HIGHWAY,Paranaguá
77513,GOODWOOD,Paranaguá
77588,ARCTOS,Paranaguá
77600,MSC AGADIR,Paranaguá
77430,GSL ARCADIA,Paranaguá
77606,JABAL SHAMS,Paranaguá
77495,HMM JAKARTA,Paranaguá
77548,XIN WEI HAI,Paranaguá
77351,SOUND YOUNG,Paranaguá
77605,DIADEMA,Paranaguá
77601,MSC MADHU B,Paranaguá
77429,MAERSK LEON,Paranaguá
77414,FUKUJIN MARU,Paranaguá
77576,ATLAS,Paranaguá
77305,SEASPAN ZAMBEZI,Paranaguá
77542,CHAMPION ISTRA,Paranaguá
77560,STAR MAIA,Paranaguá
77442,EVER FINE,Paranaguá
77445,NZ SHANGHAI,Paranaguá
77519,XIN CHONG QING,Paranaguá
77439,GRANDE LAGOS,Paranaguá
77428,CAPE SOREL,Paranaguá
77307,XIAMEN EXPRESS,Paranaguá
77441,MEZAIRA'A,Paranaguá
77361,BERGE SHARI,Paranaguá
77415,BOUNTY DIVA,Paranaguá
77497,COSCO SHIPPING XING WANG,Paranaguá
77551,GAZ SYNERGY,Paranaguá
77208,GRANDE NIGERIA,Paranaguá
77527,RI GUAN FENG,Paranaguá
77544,STAR SKY,Paranaguá
77481,XIN WEI HAI,Paranaguá
77555,SOTKA,Paranaguá
77574,ASTRAEA SB,Paranaguá
77427,MAERSK LABREA,Paranaguá
76935,MIRADOR EXPRESS,Paranaguá
77573,ASTRAEA SB,Paranaguá
77568,MSC INSA,Paranaguá
77585,MORNING CELESTA,Paranaguá
77526,SEA BRAVE,Paranaguá
77571,ARMONIA.GR,Paranaguá
77582,SPYROS V,Paranaguá
77458,BEN 1,Paranaguá
ALPHAMAR,14/09/2025 13:00,Paranaguá
ALPHAMAR,14/09/2025 13:00,Paranaguá
77362,MSC LOS ANGELES,Paranaguá
77426,CAP SAN MALEAS,Paranaguá
77370,IOLCOS DIGNITY,Paranaguá
77275,EAGLE ARROW,Paranaguá
77335,EAGLE ARROW,Paranaguá
77577,BASIC GLORY,Paranaguá
77533,INCE POINT,Paranaguá
77496,CMA CGM BAHIA,Paranaguá
77490,FU RONG FENG,Paranaguá
77578,NAVIOS GEMINI,Paranaguá
77416,POPLAR ARROW,Paranaguá
CARGONAVE,13/09/2025 19:00,Paranaguá
77517,ALESSIA,Paranaguá
77402,NPA GUAPORÉ,Paranaguá
77400,NPA MARACANÃ,Paranaguá
77508,DOVER HIGHWAY,Paranaguá
77404,HAOYUE,Paranaguá
77204,POLARIS LEADER,Paranaguá
77494,AYOE,Paranaguá
77569,WITHAM,Paranaguá
77301,SPARROWHAWK,Paranaguá
77306,PALENA,Paranaguá
77505,SHAMAL,Paranaguá
77387,MSC SHAY,Paranaguá
77425,MAERSK LA PAZ,Paranaguá
77206,GRANDE BUENOS AIRES,Paranaguá
77488,HYUNDAI BRAVE,Paranaguá
77557,FAIR WONDER,Paranaguá
NORTH STAR,12/09/2025 06:00,Paranaguá
77419,COSCO SHIPPING WISDOM,Paranaguá
77528,AMERICA,Paranaguá
77484,NAVIOS VERMILION,Paranaguá
77437,KOTA PUSAKA,Paranaguá
77489,BUNUN VICTORY,Paranaguá
77559,FINCH ARROW,Paranaguá
77558,SPAR VEGA,Paranaguá
77590,NORTHWEST,Paranaguá
77575,COOL RIDER,Paranaguá
77532,CCS ORCHID,Paranaguá
77499,LADY ZANDAVI,Paranaguá
77561,EUROPE,Paranaguá
77399,KOUROS,Paranaguá
77549,MSC SIYA B,Paranaguá
77297,GRAND PACE,Paranaguá
76932,IRENES RESOLVE,Paranaguá
77423,MAERSK LETICIA,Paranaguá
77448,PACIFIC ZIRCON,Paranaguá
77422,CAP SAN ARTEMISSIO,Paranaguá
77440,CMA CGM PARATY,Paranaguá
77486,MSC IZMIR F,Paranaguá
77491,JAKARTA,Paranaguá
77377,OCEAN FREEDOM,Paranaguá
77502,SSI ERDOGAN BEY,Paranaguá
77290,XIN QI XING,Paranaguá
77299,HONG SHENG,Paranaguá
77373,BUNUN ACE,Paranaguá
77355,OCEANLOVE,Paranaguá
77057,FJ AZALEA,Paranaguá
Imp,FERTILIZ.MINER.QUIM.C/NITROGEN,Paranaguá
