produto,sentido,porto
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,Paranaguá
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,Paranaguá
Imp,GASOLINAS,Paranaguá
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,Paranaguá
Imp,GLP,Paranaguá
Exp,SOJA,Paranaguá
Imp,OLEO DIESEL,Paranaguá
Imp,OLEO DIESEL,Paranaguá
Imp,METANOL,Paranaguá
Exp,OUTS.ACUCARES,Paranaguá
Imp,SULFATO DE AMONIO,Paranaguá
Exp,FARELO DE SOJA,Paranaguá
Exp,AÇÚCAR,Paranaguá
Exp,MILHO,Paranaguá
Exp,AÇÚCAR,Paranaguá
Imp,CLORETOS DE POTASSIO,Paranaguá
Imp,CLORETOS DE POTASSIO,Paranaguá
Exp,AÇÚCAR,Paranaguá
Exp,SOJA,Paranaguá
Exp,OUTS.ACUCARES,Paranaguá
Imp,NITRATO DE AMONIO,Paranaguá
Imp,NITRATO DE AMONIO,Paranaguá
Imp,SULFATO DE AMONIO,Paranaguá
Imp,SULFATO DE AMONIO,Paranaguá
77503,MSC MELINE,Paranaguá
77467,MSC PETRA,Paranaguá
77462,BOMAR OSPREY,Paranaguá
77389,MAJORCA,Paranaguá
77469,HIGH ADVENTURER,Paranaguá
77343,HYUNDAI PARAMOUNT,Paranaguá
77360,NEWPORT,Paranaguá
77259,CAPTAIN MIKE,Paranaguá
77348,GIEWONT,Paranaguá
77209,AGIA FOTINI,Paranaguá
Imp,CLORETOS DE POTASSIO,Paranaguá
Imp,UREIA,Paranaguá
77089,SENTINEL,Paranaguá
77082,MERLIN,Paranaguá
Imp,UREIA,Paranaguá
77493,NCC NAJEM,Paranaguá
Exp,ALCOOL ETILICO,Paranaguá
77444,CAPE PIONEER,Paranaguá
77547,MINOAN BAY,Paranaguá
77345,CPT DIMITRIOS S,Paranaguá
77371,CPT DIMITRIOS S,Paranaguá
77492,MODIGLIANI,Paranaguá
77398,MAHA JACQUELINE,Paranaguá
77566,NJ CALLISTO,Paranaguá
77552,POLLUX,Paranaguá
77531,BUNUN VICTORY,Paranaguá
77485,PUMA MAX,Paranaguá
77393,GUO HAI LIAN 665,Paranaguá
77397,OCEAN BREEZE,Paranaguá
77504,CINNAMON,Paranaguá
77535,NORD ANTHEM,Paranaguá
77381,TAI KNIGHTHOOD,Paranaguá
77534,BASS,Paranaguá
77412,JIN SUI,Paranaguá
77349,NIKI,Paranaguá
77372,TRAMMO INDEPENDENT,Paranaguá
76917,UBC SALERNO,Paranaguá
77263,FIRST D'YQUEM,Paranaguá
77386,NEW PRESTIGE,Paranaguá
77243,BIANCA,Paranaguá
77352,MSC LEILA,Paranaguá
77346,BETTYS LOVE,Paranaguá
77380,YARRA,Paranaguá
77011,NAVIOS URANUS,Paranaguá
77219,GASTONE,Paranaguá
MASTER OPERAÇÕES,23/08/2025 11:00,Paranaguá
77365,PIRRIHIOS,Paranaguá
77161,RED FIN,Paranaguá
ALPHAMAR,22/08/2025 12:00,Paranaguá
77080,SHANDONG FU ZE,Paranaguá
WILSON SONS,20/08/2025 15:00,Paranaguá
77112,PISTI,Paranaguá
77167,LILA SHANGHAI,Paranaguá
77249,VENTURE,Paranaguá
77232,SATURN J,Paranaguá
77069,TIAN MU SHAN,Paranaguá
ROCHAMAR,13/08/2025 20:00,Paranaguá
77225,ONE AND ONLY,Paranaguá
AMART,12/08/2025 20:00,Paranaguá
76955,OTZIAS,Paranaguá
ZPORT,11/08/2025 18:00,Paranaguá
77056,EURIPIDES GRAECIA,Paranaguá
WILSON SONS,07/08/2025 12:00,Paranaguá
77180,ZURICH,Paranaguá
77081,ASL CRYSTAL,Paranaguá
76980,AZAMARA QUEST,Paranaguá
74950,L AUSTRAL,Paranaguá
72780,SILVER WHISPER,Paranaguá
70607,SILVER WHISPER,Paranaguá
77479,NC BRUMA,Paranaguá
77468,IRENES WISDOM,Paranaguá
77466,JAZAN,Paranaguá
77478,NC BREDA,Paranaguá
77465,CZECH,Paranaguá
70604,SILVER WHISPER,Paranaguá
77464,VELIKA,Paranaguá
77463,COPIAPO,Paranaguá
77477,NC BRAVO,Paranaguá
77461,IRENES RULE,Paranaguá
77476,NC BRISA,Paranaguá
77460,BREMERHAVEN EXPRESS,Paranaguá
77457,MIRADOR EXPRESS,Paranaguá
77456,LE HAVRE EXPRESS,Paranaguá
77475,NC BRUMA,Paranaguá
77455,XIAMEN EXPRESS,Paranaguá
77454,DALIAN EXPRESS,Paranaguá
77474,NC BREDA,Paranaguá
77453,PALENA,Paranaguá
77473,NC BRAVO,Paranaguá
77452,LAEM CHABANG EXPRESS,Paranaguá
77447,IRENES WISDOM,Paranaguá
77472,NC BRISA,Paranaguá
77446,VELIKA,Paranaguá
77450,POLARIS LEADER,Paranaguá
77471,NC BRUMA,Paranaguá
77330,IRENES RULE,Paranaguá
77443,SEASPAN EMPIRE,Paranaguá
77329,NC BREDA,Paranaguá
77327,MIRADOR EXPRESS,Paranaguá
77599,ASPRI,Paranaguá
77326,NC BRISA,Paranaguá
77470,NC BRAVO,Paranaguá
77323,NC BRISA,Paranaguá
77322,JAZAN,Paranaguá
77321,COPIAPO,Paranaguá
77529,CMA CGM RODOLPHE,Paranaguá
77320,NC BRUMA,Paranaguá
77511,EVER FAST,Paranaguá
77524,MERCOSUL SANTOS,Paranaguá
77319,CZECH,Paranaguá
77318,PARANAGUA EXPRESS,Paranaguá
77594,VENATOR,Paranaguá
77317,IRENES WISDOM,Paranaguá
77584,STAR FAIRFIELD,Paranaguá
77608,JULES POINT,Paranaguá
77316,NC BREDA,Paranaguá
77554,ONE PARANA,Paranaguá
77607,NEPTUNIA,Paranaguá
77539,HAFNIA AMMOLITE,Paranaguá
77315,VELIKA,Paranaguá
77438,MAERSK LANCO,Paranaguá
77536,MIDJUR,Paranaguá
77583,ZIM THAILAND,Paranaguá
77553,COSCO SHIPPING ARGENTINA,Paranaguá
77589,TORM SUBLIME,Paranaguá
77565,GREEN SANTOS,Paranaguá
77500,ENSENADA,Paranaguá
77487,MAERSK RUBICON,Paranaguá
77516,PRESIDENT I,Paranaguá
77314,NC BRAVO,Paranaguá
77313,LE HAVRE EXPRESS,Paranaguá
77564,OCEAN OUTSTANDING,Paranaguá
77604,SAKURA BELLE,Paranaguá
77603,SAKURA BELLE,Paranaguá
77522,HYUNDAI FORCE,Paranaguá
77514,KOTA PAHLAWAN,Paranaguá
77598,DIAMOND GLOBE,Paranaguá
77436,MAERSK LABREA,Paranaguá
77435,MAERSK JAIPUR,Paranaguá
77579,MTM MISSISSIPPI,Paranaguá
77521,SEASTRENGTH,Paranaguá
77563,GEMINI OCEAN,Paranaguá
77540,HORDA,Paranaguá
77525,ULTRA OSORNO,Paranaguá
77587,SDM TAICANG,Paranaguá
77434,MAERSK JAIPUR,Paranaguá
77413,BERGE SHARI,Paranaguá
ROCHAMAR,24/09/2025 08:00,Paranaguá
77405,FALKANGER,Paranaguá
77597,DEE4 LARCH,Paranaguá
77530,CMA CGM YUKON,Paranaguá
77596,DEEP BLUE,Paranaguá
77543,SHARP ISLAND,Paranaguá
