agencia,produto,sentido,porto,volume,data_chegada
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,70510,12/09/2025
ROCHAMAR AGENCIA MARITIMA S/A,SOJA A GRANEL,EMB,Santos,63000,12/09/2025
WAYPOINT AGENCIA MARITIMA LTDA,SOJA A GRANEL,EMB,Santos,55000,12/09/2025
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,67500,12/09/2025
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,65000,12/09/2025
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,21850,12/09/2025 05:05:00
FERTIMPORT S/A.,MILHO A GRANEL,EMB,Santos,68000,13/09/2025 05:00:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,67500,13/09/2025 08:00:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,EMB,Santos,70450,13/09/2025 08:00:00
FERTIMPORT S/A.,SOJA A GRANEL,EMB,Santos,66000,14/09/2025 01:00:00
WAYPOINT AGENCIA MARITIMA LTDA,MILHO A GRANEL,EMB,Santos,58721,15/09/2025 05:00:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,68500,15/09/2025 08:00:00
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,EMB,Santos,69000,15/09/2025 10:00:00
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,EMB,Santos,67250,16/09/2025 10:00:00
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,Santos,47000,18/08/2025 14:06:00
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,Santos,30800,27/08/2025 14:30:00
JBG - AGENCIAMENTOS MARITIMOS E TRANSPORTES LTDA,FERTILIZANTES,DESC,Santos,77390,04/09/2025 08:00:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTESFERTILIZANTES,EMBDESC,Santos,800024900,05/09/2025 01:30:00
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,Santos,32500,07/09/2025 23:00:00
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,DESC,Santos,23243,09/09/2025 01:36:00
AMART SERVICES CONSULT AG MARITIMO E TRANSP LTDA,FERTILIZANTES,DESC,Santos,31945,09/09/2025 02:42:00
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,DESC,Santos,49500,12/09/2025 06:30:00
FERTIMPORT S/A.,FERTILIZANTES,DESC,Santos,76895,13/09/2025 05:00:00
ORION OPERACOES PORTUARIAS LTDA,SAL A GRANEL,DESC,Santos,50050,14/09/2025 05:00:00
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,Santos,51867,14/09/2025 13:00:00
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,Santos,42130,16/09/2025 09:00:00
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,DESC,Santos,77600,16/09/2025 10:00:00
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",FERTILIZANTES,DESC,Santos,22104,17/09/2025
GEM SHIPPING LTDA,GRAN.SOLIDO NAO ESPECIF,DESC,Santos,30524,17/09/2025 10:00:00
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",FERTILIZANTES,DESC,Santos,10000,17/09/2025 13:00:00
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,Santos,49347,20/09/2025
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,Santos,28700,20/09/2025 05:00:00
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,Santos,55062,22/09/2025 05:00:00
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,Santos,46140,23/08/2025 06:30:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTES,EMB,Santos,23650,28/08/2025 08:24:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,ACUCAR A GRANEL,EMB,Santos,53000,31/08/2025 09:00:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,ACUCAR A GRANEL,EMB,Santos,54500,08/09/2025 17:00:00
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,Santos,60000,12/09/2025
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,Santos,20000,12/09/2025
WAYPOINT AGENCIA MARITIMA LTDA,ACUCAR A GRANEL,EMB,Santos,60000,15/09/2025
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",ACUCAR A GRANEL,EMB,Santos,70914,16/09/2025 05:00:00
WAYPOINT AGENCIA MARITIMA LTDA,ACUCAR A GRANEL,EMB,Santos,50400,20/09/2025 08:00:00
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,Santos,75000,21/09/2025 07:00:00
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,Santos,58890,22/09/2025 07:00:00
ORION OPERACOES PORTUARIAS LTDA,ACUCAR A GRANEL,EMB,Santos,75000,24/09/2025 13:00:00
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,Santos,45975,26/09/2025 07:00:00
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,Santos,70000,29/09/2025
